company_name,link,logo,description
Manomano,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/manomano/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/manomano.jpg,"Manomano : informations clés sur la société Manomano est une startup française basée à Neuilly Sur Seine (voir l'annuaire startups Ile de France & l'actualité startups Ile de France), créée en 2012, et dont les principaux fondateurs dirigeants sont Philippe De Chanville, Christian Raisson... Manomano (anciennement Monechelle) est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Architecture - Décoration d'intérieur Startups Meubles - Design Startups Places…"
Acheter-Louer.fr,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/acheter-louer-fr/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/acheter_louer_fr.jpg,"Acheter-Louer.fr : informations clés sur la société Acheter-Louer.fr est une startup française basée à Les Ulis (voir l'annuaire startups Ile de France & l'actualité startups Ile de France), créée en 1994, et dont les principaux fondateurs dirigeants sont Fabrice Rosset, Laurent Campagnolo... Acheter-Louer.fr est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Logements Startups Location immobilière en ligne Startups Location en ligne ; et dans les…"
Magicstay,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/magicstay/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/magicstay.jpg,"Magicstay : informations clés sur la société Magicstay est une startup française basée à Grasse (voir l’annuaire startups Provence Alpes Cote d'Azur & l’actualité startups Provence Alpes Cote d'Azur), créée en 2014, et dont les principaux fondateurs dirigeants sont Valery Linyer, Eric Christophe... Magicstay (anciennement Magicevent, Immo-Start) est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Logements Startups Location immobilière en ligne Startups Location en ligne…"
Guesttoguest,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/guesttoguest/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/guesttoguest.jpg,"Guesttoguest : informations clés sur la société Guesttoguest est une startup française basée à Montastruc (voir l’annuaire startups Occitanie & l’actualité startups Occitanie), créée en 2014, et dont les principaux fondateurs dirigeants sont Stephane Millet, Emmanuel Arnaud... Guesttoguest est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Logements Startups Location immobilière en ligne Startups Location en ligne Startups Conciergerie ; et dans les marchés Startups…"
Habiteo,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/habiteo/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/habiteo.jpg,"Habiteo : informations clés sur la société Habiteo est une startup française basée à Paris (voir l'annuaire startups Ile de France & l'actualité startups Ile de France), créée en 2013, et dont les principaux fondateurs dirigeants sont Jeanne Massa, Julien Frelat... Habiteo (anciennement Immo Digital Services) est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Logements Startups Achat - Vente de logements ; et dans les marchés…"
Myfab,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/myfab/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/annuaire_startups_france.png,"Myfab : informations clés sur la société Myfab est une startup française basée à Paris (voir l'annuaire startups Ile de France & l'actualité startups Ile de France), créée en 2008, et dont les principaux fondateurs dirigeants sont Gilles Villautreix, Stephane Setbon... Myfab est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Architecture - Décoration d'intérieur Startups Meubles - Design ; et dans les marchés Startups PropTech /…"
Faber.Place,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/faber-place/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/faber_place.jpg,"Faber.Place : informations clés sur la société Faber.Place est une startup française basée à Paris (voir l'annuaire startups Ile de France & l'actualité startups Ile de France), créée en 2014, et dont les principaux fondateurs dirigeants sont France Hureaux... Faber.Place (anciennement Zelip) est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Architecture - Décoration d'intérieur Startups Meubles - Design ; et dans les marchés Startups PropTech /…"
Meilleursagents,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/meilleursagents/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/meilleursagents.jpg,"Meilleursagents : informations clés sur la société Meilleursagents est une startup française basée à Paris (voir l'annuaire startups Ile de France & l'actualité startups Ile de France), créée en 2008, et dont les principaux fondateurs dirigeants sont Sébastien De Lafond, Julien Cheyssial... Meilleursagents est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements ; et dans les marchés Startups PropTech Startups Marché Grand Public - B2C . Meilleursagents n'est à…"
Privateaser,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/privateaser/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/privateaser.jpg,"Privateaser : informations clés sur la société Privateaser est une startup française basée à Paris (voir l'annuaire startups Ile de France & l'actualité startups Ile de France), créée en 2015, et dont les principaux fondateurs dirigeants sont Nicolas Furlani, Alexandre Paepegaey... Privateaser est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Logements Startups Location immobilière en ligne Startups Location en ligne ; et dans les marchés…"
Achatdesign,http://www.alloweb.org/annuaire-startups/annuaire-start-ups/achatdesign/,http://www.alloweb.org/annuaire-startups/wp-content/uploads/2018/02/annuaire_startups_france.png,"Achatdesign : informations clés sur la société Achatdesign est une startup française basée à Saint Martin Boulogne (voir l'annuaire startups Hauts de France & l'actualité startups Hauts de France), créée en 2009, et dont les principaux fondateurs dirigeants sont Vincent Boutillier... Achatdesign est référencée dans notre base de donnée de start-ups dans les secteurs d'activité : Startups Immobilier - Logements Startups Architecture - Décoration d'intérieur Startups Meubles - Design ; et dans les marchés Startups PropTech /…"
